,AAPL__hl,AAPL__co,AAPL__ocp,AAPL__log_returns,AAPL__lret_squared,AAPL__earning_horizon1,AAPL__earning_horizon2,AAPL__earning_horizon3,AAPL__earning_horizon4,AAPL
2015-01-05,0.0258253293435383,-0.0218516491801339,-0.0086434904384639,-0.0304951396185977,0.0009299535403577,0,0,0,0,0.2374447970042815
2015-01-06,0.0219652252203274,-0.0011278196684188,0.0050852355559136,0.0039574158874948,1.566114050659685e-05,0,0,0,0,0.2591990803936435
2015-01-07,0.0135448555454793,0.0035370824482529,0.0074052759726907,0.0109423584209435,0.0001197352078123,0,0,0,0,0.1889911716610722
2015-01-08,0.0360495837777409,0.0355214395678236,0.0059380598231878,0.0414594993910113,0.0017188900897532,0,0,0,0,0.2231659594119445
2015-01-09,0.0233599023172326,-0.0037523496185502,0.0007047248073786,-0.0030476248111712,9.288016989666706e-06,0,0,0,0,0.2598284443247035
2015-01-12,0.0335408076329802,-0.0314502696540318,0.0060681963826144,-0.0253820732714178,0.0006442496435556,0,0,0,0,0.2339671036161547
2015-01-13,0.0335542156417021,-0.0119261522970269,0.0201770000462163,0.0082508477491893,6.807648858030351e-05,0,0,0,0,0.4802163726181885
2015-01-14,0.0179905313343519,0.0058549198527994,-0.0065143834522667,-0.000659463599467,4.3489223902197555e-07,0,0,0,0,0.2194041893824976
2015-01-15,0.0306306220061861,-0.0233961118230629,0.0008197095044345,-0.0225764023186285,0.0005096939416525,0,0,0,0,0.2551504925439501
2015-01-16,0.0221813605424352,-0.010052224247526,-0.0029867485335486,-0.0130389727810746,0.0001700148111856,0,0,0,0,0.2332489125602626
2015-01-19,0.0221813605424352,-0.010052224247526,-0.0029867485335486,-0.0130389727810746,0.0001700148111856,0,0,0,0,0.2332489125602626
2015-01-20,0.0139862419747392,0.0046004867495467,0.0135048474692121,0.0181053342187591,0.0003278031271729,0,0,0,0,0.2618151877609597
2015-01-21,0.0269528056638031,0.0167687226953048,0.0014408456687953,0.0182095683640999,0.0003315883800068,0,0,0,0,0.254329615881437
