,DE_Spot_EPEX_1H_A,DE_Residual_Load_15M_A_AVG,DE_Consumption_15M_A_AVG
2018-12-05 11:00:00,41.01,56656.5,72297.5
2018-12-05 12:00:00,42.26,57649.5,71683.75
2018-12-05 13:00:00,41.74,58920.0,71402.25
2018-12-05 14:00:00,41.98,59565.5,70687.5
2018-12-05 15:00:00,42.07,59118.25,70802.25
2018-12-05 16:00:00,47.7,57299.25,72167.75
2018-12-05 17:00:00,54.04,55360.75,73750.25
2018-12-05 18:00:00,64.04,52464.25,73312.75
2018-12-05 19:00:00,67.17,50306.5,72460.75
2018-12-05 20:00:00,66.95,46299.75,69073.75
2018-12-05 21:00:00,67.29,42480.5,65662.5
2018-12-05 22:00:00,67.07,39973.5,62986.25
2018-12-05 23:00:00,66.11,35587.0,58182.5
2018-12-06 00:00:00,65.23,32283.0,54149.5
2018-12-06 01:00:00,64.23,31153.0,52029.25
2018-12-06 02:00:00,60.85,30475.25,50856.0
2018-12-06 03:00:00,61.99,31476.0,51479.25
2018-12-06 04:00:00,58.55,33787.25,52829.0
2018-12-06 05:00:00,55.84,38673.25,56538.25
2018-12-06 06:00:00,53.18,47224.5,64324.25
2018-12-06 07:00:00,51.06,54036.5,70449.5
2018-12-06 08:00:00,49.08,57213.5,72465.75
2018-12-06 09:00:00,46.62,57722.0,72723.25
2018-12-06 10:00:00,37.87,56930.75,73108.0
2018-12-06 11:00:00,35.83,57203.0,74079.0
2018-12-06 12:00:00,32.17,55269.5,73418.75
2018-12-06 13:00:00,29.88,53207.25,73273.0
2018-12-06 14:00:00,28.59,53037.25,72491.0
2018-12-06 15:00:00,26.43,52484.25,72199.25
2018-12-06 16:00:00,33.44,52756.75,73723.25
2018-12-06 17:00:00,48.57,51674.75,74525.0
2018-12-06 18:00:00,61.13,49359.5,73975.25
2018-12-06 19:00:00,59.95,46566.5,72562.5
2018-12-06 20:00:00,54.5,42316.75,69539.75
2018-12-06 21:00:00,53.23,36454.5,64688.75
2018-12-06 22:00:00,52.8,32101.0,60889.0
2018-12-06 23:00:00,51.69,26697.0,56372.5
2018-12-07 00:00:00,49.79,22786.5,52735.5
2018-12-07 01:00:00,48.04,20571.75,50556.75
